labels
cd_perimet
id_Eixo
NomeTransp
TipoEixo
AreaQuadra
AreaEixo
id_quadra
id_Metro
id_Trem
id_Corredor
TipoTransp
emt_empres
emt_situac
emt_linha
emt_nome
etr_situac
etr_linha
etr_nome
etr_empres
co_km
co_obs
co_ano
co_nome
co_id
geometry
